title,originalTitle,description,genre
"Spokojnie, to tylko awaria...",Airplane II: The Sequel,Innowacyjny wahadłowiec pasażerski ulega awarii podczas lotu na Księżyc. ,Komedia / Sci-Fi
Rosetta,,"Młoda i impulsywna Rosetta, mieszkająca z matką alkoholiczką, jest gotowa na wszystko, aby zdobyć pracę.",Dramat
Dziecko wojny,Ivanovo detstvo,Podczas II wojny światowej osierocony chłopiec uczestniczy w akcjach zwiadowczych.,Dramat / Wojenny
Wiem kto mnie zabił,I Know Who Killed Me,"Młoda striptizerka zostaje porwana przez seryjnego mordercę. Po ucieczce od brutalnego mężczyzny zarzeka się, że nie jest tą osobą, za którą ją biorą.",Kryminał / Thriller
Punisher,The Punisher,"Policjant, który stracił rodzinę w zamachu przygotowanym przez mafię, prowadzi prywatną wojnę z całym półświatkiem przestępczym. ",Sensacyjny
Tetsuo - Człowiek z żelaza,Tetsuo,"Nad mężczyzną ciąży klątwa, która sprawia, że jego ciało stopniowo zamienia się w żelazo.",Surrealistyczny
Blondynka w koszarach,Major Movie Star,Gwiazda filmowa Megan Valentine postanawia wstąpić do wojska.&nbsp;,Komedia / Wojenny
Piżama party,Sleepover,Julie urządza przyjęcie pożegnalne dla swojej przyjaciółki. Dziewczyny rywalizują z grupą organizującą konkurencyjną imprezę.,Komedia
Simone,S1m0ne,Po rezygnacji odtwórczyni głównej roli w filmie zdesperowany reżyser ucieka się do oszustwa. Za pomocą programu komputerowego stwarza własną gwiazdę ekranu. ,Dramat / Komedia / Sci-Fi
Teresa Raquin,In Secret," Film zrealizowany na podstawie powieści Émila Zoli. Teresa (Elizabeth Olsen) wychodzi za mąż za swojego kuzyna (Tom Felton), z którym się wychowywała. Kiedy mężczyzna... ",Dramat / Kryminał / Thriller
Anna Karenina,,Zamężna Anna angażuje się w romans z młodym hrabią. Ich związek wywołuje skandal wśród rosyjskiej arystokracji. ,Kostiumowy / Melodramat
Dziewczyny śmierci,The Final Girls,Po śmierci matki młoda kobieta przenosi się do świata horrorów.,Horror / Komedia
Odważni,Courageous,Czterej policjanci starają się być dobrymi ludźmi. ,Dramat
Nagi instynkt 2,Basic Instinct 2,"Robert Glass dostaje sprawę oskarżonej o morderstwo Cathrine, która prowadzi z nim uwodzicielską grę.",Kryminał / Thriller
Opancerzony,Armored,Pracownicy firmy ochroniarskiej planują kradzież 42 milionów dolarów. Nie wszytko przebiega jednak po ich myśli. ,Kryminał / Thriller / Akcja
Dorwać Cartera,Get Carter,"Jack, egzekutor długów z Las Vegas, wraca do rodzinnego Seattle na pogrzeb brata i zaczyna podejrzewać, że nie był to zwyczajny wypadek",Sensacyjny / Thriller
Party Monster,," Jest to oparta na faktach opowieść o Michaelu Aligu, jednym z założycieli ruchu imprezowego Club Kids w latach 80., którego życie ulega drastycznym zmianom po tym, jak w... ",Biograficzny / Dramat / Kryminał
Ósmy dzień,Le huitième jour,"Harry jedzie odwiedzić swoje dzieci. W czasie podróży spotyka Georgesa z zespołem Downa, który właśnie uciekł z zakładu dla upośledzonych umysłowo. ",Dramat / Komedia
Cisza,Das Letzte Schweigen,Sprawa brutalnego gwałtu i morderstwa na jedenastolatce powraca po niespełna ćwierćwieczu w związku z zaginięciem kolejnej dziewczynki.,Dramat / Kryminał / Thriller
IO,,Nastolatka i jedna z ostatnich ocalałych na Ziemi podejmuje rozpaczliwą próbę uratowania zatrutej planety.,Sci-Fi
Zakazana planeta,Forbidden Planet,"Wysłana na planetę Altair ekspedycja odnajduje zaginionego doktora i jego córkę, jedynych ocalałych członków załogi statku ""Bellerofont"". Naukowiec skrywa jednak groźny sekret.",Sci-Fi
Zniknięcie Eleanor Rigby: Ona,The Disappearance of Eleanor Rigby: Her,"Przedstawiona z punktu widzenia kobiety historia pary próbującej ocalić uczucie, które łączyło ich w przeszłości. ",Dramat
Wymiar dialogu,Možnosti dialogu,"Głowy i figury nawiązują komunikację poprzez wzajemne pożeranie się, uprawianie miłości czy współpracę. ",Fantasy / Komedia / Krótkometrażowy / Animacja dla dorosłych
"Puk, puk",Toc Toc,"Grupa pacjentów cierpiących na&nbsp;OCD czeka w&nbsp;poczekalni na&nbsp;spóźnionego lekarza, próbując poradzić sobie z&nbsp;ekscentrycznymi dziwactwami – swoimi i&nbsp;innych.",Komedia
Pora mroku,,Joanna w towarzystwie przyjaciół wyrusza na poszukiwania brata. Tropy prowadzą do opuszczonej fabryki. ,Horror
Arn - Królestwo na końcu drogi,Arn - Riket vid vägens slut," Czas trwania kary Arna i Cecili&nbsp; dobiega końca. Jednak Arn musi zostać. Zbliża się bitwa , która z góry jest skazana na porażkę.Wszyscy giną, jednak Arn uchodzi z życiem... ",Kostiumowy / Melodramat / Przygodowy
Zamieszkajmy razem,Et si on vivait tous ensemble?,"Znający się od 40 lat przyjaciele postanawiają zamieszkać razem. Do seniorów wprowadza się student antropologii, który prowadzi badania na temat starości.",Dramat / Komedia
Dog Soldiers,,Jednostka brytyjskich żołnierzy wyrusza na manewry do Szkocji. Rutynowe ćwiczenia zmieniają się w walkę o przetrwanie. ,Horror / Akcja
Stalingrad,,Niemcy próbują zdobyć Stalingrad w czasie jednej z największych bitew II wojny światowej.,Dramat / Wojenny
Duch i Mrok,The Ghost and the Darkness,"Afryka pod koniec XIX wieku, dwa lwy terroryzują budowniczych mostu. Inżynier John Patterson i myśliwy Charles Remington próbują zapobiec atakom. ",Przygodowy
Max,,"Po powrocie z misji, pies służący pomocą żołnierzom w Afganistanie zostaje zaadoptowany przez rodzinę swojego tresera. ",Familijny / Przygodowy
Włoski dla początkujących,Italiensk for begyndere," ""Włoski dla początkujących"" opowiada historię samotnych, nieszczęśliwych ludzi, których losy dość przypadkowo zaczynają się ze sobą splatać pewnej ponurej kopenhaskiej... ",Dramat / Komedia / Romans
Mandela: Droga do wolności,Mandela: Long Walk to Freedom,"Kronika życia Nelsona Mandeli, który został pierwszym demokratycznie wybranym prezydentem RPA.",Biograficzny / Dramat
"Giń, 2020!",Death to 2020,"Komediowy rzut oka na rok, który wszyscy chcemy jak najszybciej pożegnać, w wykonaniu najgorzej poinformowanych komentatorów na świecie.",Komedia / Dokumentalizowany
Lolo,,Podczas pobytu w spa Violette poznaje maniaka komputerowego.,Komedia
Niezapomniany,Unforgettable,Rozwiedziona kobieta postanawia zmienić w piekło życie nowej wybranki swojego byłego męża. ,Thriller
Serce lwa,Leijonasydän,"Centralna postać grupy neonazistów, Teppo, zakochuje się w Sari, matce czarnoskórego Rhamadhaniego. ",Dramat
Ewa chce spać,,"Młoda dziewczyna przyjeżdża do miasta dzień przed rozpoczęciem roku szkolnego. Nie mogąc spędzić nocy w internacie, rozpoczyna poszukiwania noclegu. ",Komedia
Mroczna dzielnica,Exit Wounds,"Funkcjonariusz&nbsp;Orin Boyd usiłuje ukrócić korupcję panującą w policji&nbsp;Detroit. Pomóc mu może jedynie handlarz bronią,&nbsp;Latrell Walker.",Sensacyjny
Osławiona,Notorious,Alicia Huberman otrzymuje od agenta rządowego zadanie infiltracji organizacji nazistowskiej.&nbsp;W tym celu udaje się do Rio de Janeiro.&nbsp;,Film-Noir
Pret-a-Porter,Prêt-à-Porter," Dwa razy w roku świat mody zbiera się w Paryżu na Pret-a-Porter. Wydawcy magazynów, dziennikarze, fotografowie, sławni i bogaci przybywają, aby obejrzeć najnowsze oferty... ",Komedia obycz.
Wybuchowy weekend,Cherrybomb," „Cherrybomb” przedstawia perypetie trojga nastolatków – Luke’a, Malachy i Michelle, którzy organizując weekend, planują zaszaleć w towarzystwie alkoholu, narkotyków i... ",Dramat / Thriller
Dracula,,"Hrabia Dracula dociera do Londynu, gdzie wypija krew młodej kobiety.",Horror
John Wick: Chapter 4,,nr 1,Thriller / Akcja
Anomalia,La Cinquième Saison,Brak wiosny i widmo głodu zmuszają lokalną społeczność do znalezienia winowajcy fatalnej pogody i złożenia go w ofierze. Podejrzenia padają na syna miejscowego filozofa.,Dramat
Dzieci z Jedwabnego Szlaku,The Children of Huang Shi,"Angielski dziennikarz przedostaje się do ogarniętego wojną Nankinu. Mężczyzna cudem unika śmierci za sprawą chińskiego partyzanta i amerykańskiej sanitariuszki, a następnie zostaje opiekunem kilkudziesięciu osieroconych chłopców.",Dramat historyczny
Heca w zoo,Zookeeper,"Pracownik zoo musi zmienić posadę, aby odzyskać dziewczynę. Zwierzęta nie chcą dopuścić do odejścia ich ulubionego opiekuna.",Familijny / Komedia rom.
Golem,,Stworzony przez naukowców Pernat występuje przeciwko swoim opiekunom. ,Dramat / Sci-Fi
Ballada o Narayamie,Narayama bushiko,"Każdy mieszkaniec wioski po skończeniu siedemdziesięciu lat odbywa podróż na szczyt góry, by tam doczekać swojej śmierci. Staruszka Orin przed odejściem zamierza znaleźć najstarszemu synowi żonę.",Dramat
Niecne uczynki,Dirty Deeds,"Zach decyduje się wykonać dziesięć zadań, dzięki którym zyska sławę w szkole.",Komedia
Hallam Foe,,Młody mężczyzna próbuje rozwiązać zagadkę tajemniczej śmierci swojej matki. ,Dramat / Psychologiczny
Imaginaerum,,Kompozytor Tom ma demencję. Z czasem jego pamięć ogranicza się do wyobraźni dziesięciolatka.,Dramat / Fantasy / Muzyczny
"Dzień, który odmienił twoje życie",Le premier jour du reste de ta vie,"Pięć kluczowych dni z życia francuskiej rodziny Duval, o których opowiadają poszczególni jej członkowie. ",Dramat obyczajowy
Munio: Strażnik Księżyca,"Mune, le gardien de la lune",Munio niespodziewanie zostaje wybrany Strażnikiem Księżyca. Dla równowagi mianowany zostaje również Strażnik Słońca – Stalon. ,Animacja / Przygodowy
Na srebrnym globie,,"Grupa badaczy opuszcza Ziemię w poszukiwaniu wolności i szczęścia. Lądując na nieznanej planecie, rozpoczynają budowę nowej cywilizacji.",Sci-Fi / Poetycki
Wojna światów - następne stulecie,,"Dziennikarz telewizyjny buntuje się przeciwko reżimowi politycznemu, podczas gdy na Ziemię przybywają Marsjanie. ",Dramat / Sci-Fi
Czarny blues,Mo' Better Blues," Historia muzyka jazzowego Bleeka Gilliama, który gra w swoim zespole na trąbce. Jest bardzo wymagający. Nie idzie na żadne kompromisy. Całe dotychczasowe życie... ",Dramat / Muzyczny
Trzej idioci,3 Idiots, Dwaj przyjaciele: Farhan (Madhavan) i Raju (Sharman Joshi) wyruszają w poszukiwaniu zaginionego kolegi. W trakcie tej podróży przypomną sobie o dawno zapomnianym... ,Dramat / Komedia / Romans
Assassination Nation,,W miasteczku Salem cztery nastolatki są oskarżone o publikowanie online prywatnych informacji dotyczących członków tej niewielkiej społeczności. ,Thriller
Ostatnia klątwa,Hideaways,"Chłopiec posiada niepożądaną moc, dlatego by nie krzywdzić innych, wybiera życie samotnika. Po kilku latach poznaje dziewczynę, która ukrywa się w lesie z powodu nieuleczalnej choroby.",Fantasy / Thriller
Hubal,,"Historia oddziału majora Henryka ""Hubala"" Dobrzańskiego, który po przegranej kampanii wrześniowej nie zamierzał poddać się niemieckim najeźdźcom i kontynuował walkę. ",Biograficzny / Wojenny
Burza,The Tempest,"W wyniku wywołanej czarami burzy rozbija się statek z władcami Neapolu i Mediolanu. Rozbitkowie trafiają na wyspę rządzoną przez Prosperę, prawowitą księżną lombardzkiego miasta, a zarazem Czarodziejkę. ",Dramat / Fantasy / Kostiumowy
Parasol bezpieczeństwa,National Security,Policjant zostaje niesłusznie oskarżony o pobicie. Wraz z ofiarą próbuje ująć przestępców odpowiedzialnych za napaść.,Komedia / Sensacyjny
Nadejdą lepsze czasy,Something Better to Come,"Dokument opowiada o jedenastoletniej Julii, która mieszka na wysypisku śmieci pod Moskwą.",Dokumentalny
Dzień babci,,"Podczas próby oszustwa na ""wnuczka"" Tomek zostaje zamknięty w mieszkaniu niedoszłej ofiary. Niespodziewanie kobieta proponuje mu układ. ",Krótkometrażowy
Chopper,,"Bezwzględny i brutalny recydywista Mark ""Chopper"" Read stara się zostać najsłynniejszym kryminalistą poprzez wymierzanie sprawiedliwości innym.",Biograficzny / Dramat / Thriller
Kochanica Francuza,The French Lieutenant's Woman,"W 1980 roku powstaje film o XIX-wiecznym romansie Sary, porzuconej niegdyś przez francuskiego kochanka i Charlesa, zaręczonego z inną kobietą. Odtwórców głównych ról zaczyna łączyć relacja podobna do związku ich postaci.",Kostiumowy / Melodramat
Rezydent,The Resident,"Młoda lekarka Juliet przeprowadza się do nowego apartamentu. Wkrótce zaczyna mieć wrażenie, że poza nią w mieszkaniu jest ktoś jeszcze. ",Thriller
Więcej czadu,Pump Up the Volume,Nieśmiały Mark prowadzi nielegalną rozgłośnię radiową. ,Dramat / Komedia
Hot Summer Nights,,"Nieśmiały chłopak, wysłany do cioci na wakacje, zaczyna szybciej dojrzewać. Wkrótce też, pod wpływem nowego otoczenia, zostaje dilerem.",Dramat
W spirali,,Przechodzące kryzys małżeństwo udaje się na wycieczkę. Po drodze zabiera autostopowicza.,Dramat
Zupa nic,," Marta jest romantyczką i szkolną ofiarą losu. Dzieli pokój z siostrą Kasią i babcią (Ewa Wiśniewska), która zamiast bajek opowiada wnuczkom powstańcze historie. W pokoju... ",Komedia obycz.
Kochałam Annabelle,Loving Annabelle,"Annabelle trafia do katolickiej szkoły, gdzie zakochuje się w swojej nauczycielce.",Dramat
Jeszcze bardziej zgryźliwi tetrycy,Grumpier Old Men,John Gustafson oraz Max Goldman zakopują topór wojenny i planują wesele swoich dzieci. W międzyczasie starają się nie dopuścić do otwarcia włoskiej restauracji prowadzonej przez ponętną wdowę. ,Komedia rom.
Colette,, Pochodząca z ubogiej rodziny Colette (Keira Knightley) w wieku 20 lat poznaje swojego przyszłego męża Henry'ego Gauthiera-Villarsa (Dominic West) – starszego blisko... ,Dramat
Biały Tygrys,The White Tiger,"Ambitny kierowca z&nbsp;Indii wykorzystuje swój spryt, aby wyrwać się z&nbsp;biedy i&nbsp;wejść na&nbsp;sam szczyt.",Dramat
Nieśmiertelny II: Nowe życie,Highlander II: The Quickening, Jest rok 2024. Connor MacLeod i jego przyjaciel Ramirez zostali wygnani z odległej przeszłości. Connor jest teraz staruszkiem i zwykłym śmiertelnikiem. Przed wielu laty... ,Fantasy / Akcja
Konwój,Convoy,Niepokorny kierowca ciężarówki w wyniku konfliktu z policją rozpoczyna konwój protestacyjny.,Sensacyjny
"Zabij mnie, glino",,Porucznik Popczyk ściga groźnego przestępcę Malika. ,Dramat / Kryminał
Gwiazdorskie życie,Popstar: Never Stop Never Stopping,"Po nieudanej premierze solowego albumu były członek boys bandu robi wszystko, aby utrzymać status celebryty.",Komedia / Muzyczny
Kraina miodu i krwi,In the Land of Blood and Honey,"Bałkany, początek lat 90. XX wieku. Serbski żołnierz spotyka poznaną przed rokiem dziewczynę, która jest uwięzioną w obozie dla Bośniaków. ",Melodramat / Wojenny
Stokrotki,Sedmikrásky," Żywiołowy ""dokument komediowo-filozoficzny"", jeden z symboli czechosłowackiej Nowej Fali. Dwie atrakcyjne, pełne seksapilu dziewczyny, które nie tylko nie chcą dorosnąć,... ",Dramat / Komedia
Genua. Włoskie lato,Genova,"Joe chciałby rozpocząć nowe życie, dlatego wraz z dwiema córkami wyjeżdża do Genui. Podczas gdy starsza z sióstr jest pod urokiem Włochów, młodsza próbuje odnaleźć się w zupełnie nowym świecie.",Dramat
W umyśle wroga,Extracted," Thomas Jacobs przenika do wspomnień przestępcy, aby odnaleźć zabójcę młodej kobiety. ",Dramat / Sci-Fi
Wyrzutki,The Outsiders,Rywalizacja między dwoma młodzieżowymi gangami doprowadza do tragicznych wydarzeń po obu stronach. ,Dramat / Kryminał
Miłość jak narkotyk,Addicted to Love,"Byli partnerzy Maggie i Sama są w sobie zakochani. Ona chce się zemścić na eks-narzeczonym, a on odzyskać dawną dziewczynę, dlatego łączą siły, by rozdzielić parę. ",Komedia rom.
Kawa i papierosy III,Coffee and Cigarettes III," Tom Waits i Iggy Pop spotykają się w barze. Rozmowa się trochę nie klei. Jedyny temat to kawa i papierosy, których leniwa konsumpcja wypełnia długie momenty niezręcznej... ",Komedia / Krótkometrażowy
Brooklyn Boogie,Blue in the Face," Komedia nawiązująca do filmu ""Dym"". W sklepie tytoniowym na Brooklynie spotykają się znajomi. Każdy opowiada historię. Znany reżyser pragnie rzucić palenie, żona... ",Komedia
Czarny rycerz,Black Knight,"Pracownik parku rozrywki, Jamal w wyniku urazu głowy przenosi się do średniowiecza.",Komedia / Przygodowy
Ćma,,Jan prowadzi audycję radiową dla cierpiących na bezsenność. Problemy prywatne i zawodowe stopniowo prowadzą go do rozstroju nerwowego. ,Dramat obyczajowy / Psychologiczny
Dolina iluzji,Down in the Valley,"Młoda dziewczyna zakochuje się w mężczyźnie, który ukrywa swoją prawdziwą tożsamość.",Dramat / Romans
Koty,Cats,Porzucona przez swoich właścicieli Victoria musi odnaleźć się w tanecznym świecie kotów.,Dramat / Fantasy / Musical
Super,,"Frank postanawia zostać superbohaterem, aby odzyskać żonę, która go porzuciła. Mimo iż jest zupełnie przeciętnym facetem, wyrusza walczyć ze złem. ",Dramat / Komedia
LOL,LOL (Laughing Out Loud) ®,"Szesnastoletnia Lola dzieli swój czas między nauką w prestiżowej szkole, rozwiedzionych rodziców i przyjaciółki, gdy nagle w jej życiu pojawia się pierwsza miłość.",Komedia
Zakon Świętej Agaty,St. Agatha,"Rok 1957, Georgia. Ciężarna Mary szuka schronienia i pomocy w klasztorze, gdzie panują surowe zasady, które egzekwuje sadystyczna matka przełożona.",Horror
Bokser,The Boxer,"Były bojownik IRA opuszcza więzienie po czternastu latach. Postanawia wrócić na ring oraz zorganizować w Belfaście klub bokserski dla katolików i protestantów, co budzi sprzeciw jego dawnego otoczenia. ",Dramat / Obyczajowy
Życzenie śmierci,Death Wish,"Uliczni bandyci zabijają żonę nowojorskiego architekta, który staje się nocnym mścicielem wymierzającym sprawiedliwość na własną rękę.",Sensacyjny
Plusk,Splash,"Kawaler z Nowego Jorku zakochuje się w pięknej dziewczynie. Nie wie, że tak naprawdę jest ona syreną.",Fantasy / Komedia / Romans
Blues Brothers 2000,,Po wyjściu z więzienia Elwood zakłada nowy zespół.,Komedia / Musical
Wakacje w kurorcie,Private Resort,"Dwaj koledzy spędzają wakacje w letnim kurorcie. Jedną z kobiet, na którą zwracają uwagę, jest żona złodzieja biżuterii. ",Komedia
Mefisto,Mephisto,Prowincjonalny aktor wdaje się w niebezpieczny romans z faszyzmem.,Dramat
Moja kuzynka Rachela,My Cousin Rachel," Philip (Sam Claflin) sądzi, że jego tajemnicza, piękna kuzynka Rachel (Weisz) zamordowała człowieka, który go wychowywał i obmyśla plan zemsty. Jednak, pomimo coraz... ",Melodramat
Szkoła na haju,High School," Henry Burke (Matt Bush) jest najlepszym uczniem w swoim liceum. Lata ciężkiej pracy zaowocowały stypendium na jedną z najlepszych uczelni, MIT, oraz możliwością... ",Komedia
Wnętrza,Interiors," Film inspirowany życiem wielkiego szwedzkiego reżysera Ingmara Bergmana, opowiada historię pewnej rodziny i stosunków panujących wśród jej członków. Są wśród niej trzy... ",Dramat obyczajowy
uwantme2killhim?,,Mark próbuje rozwiązać zagadkę tajemniczej śmierci poznanej przez internet Rachel.,Dramat / Thriller
Szef wszystkich szefów,Direktøren for det hele,"Szefowi firmy komputerowej brak odwagi, by podejmować decyzje. Chcąc temu zapobiec, wynajmuje aktora, który gra rolę fikcyjnego prezesa, na którym skupia się złość pracowników. ",Komedia
Bird,,Saksofonista Charlie zaczyna tracić kontrolę nad swoim życiem oraz karierą wskutek uzależnienia od alkoholu i narkotyków.,Biograficzny / Dramat / Muzyczny
Jutro idziemy do kina,,"Trzech przyjaciół zdaje maturę i stoi na progu dorosłości, a świat zdaje się otwierać przed nimi nieograniczone możliwości. Ich wielkie plany, marzenia zostają skonfrontowane z wybuchem wojny.",Melodramat / Wojenny
Głęboka woda,Deep Water,"Zamożny mężczyzna, który pozwala żonie mieć romanse, aby uniknąć rozwodu, staje się głównym podejrzanym o zniknięcie jej kochanków.",Thriller
Tequila Sunrise,,"Funkcjonariusz policji bierze pod lupę starego znajomego, który w przeszłości handlował narkotykami. ",Sensacyjny / Thriller
Porządna kobieta,A Good Woman,"Lata 30. XX wieku. Przybycie bezpruderyjnej uwodzicielki, Stelli, powoduje zamieszanie wśród przebywającej na włoskim wybrzeżu angielskiej śmietanki towarzyskiej.",Dramat / Komedia / Romans
The Titan,,"Żołnierz poddaje się radykalnej transformacji genetycznej, aby uratować przyszłość ludzi. Jego żona ma&nbsp;jednak poczucie, że zostało w nim bardzo mało z człowieka.",Sci-Fi
Trzecia gwiazda,Third Star,"Śmiertelnie chory James wyrusza na wyprawę do swojego ulubionego miejsca, Barafundle Bay w Walii. Towarzyszy mu trzech najlepszych przyjaciół.",Dramat / Komedia
Henryk V,Henry V,"Król Anglii Henryk V Lancaster wszczyna wojnę z Francją, aby upomnieć się o swoje prawa do tronu.",Dramat historyczny
Niszczycielka,Destroyer,"Los Angeles. Detektyw Erin przybywa na miejsce zbrodni, po czym dostaje tajemniczą przesyłkę. Podejrzewa, że ma to związek z wydarzeniami sprzed 20 lat, kiedy to pracowała pod przykrywką.",Dramat / Kryminał
Amelia Earhart,Amelia,"Amelia Earhart staje się gwiazdą, gdy jako pierwsza kobieta przelatuje samotnie nad Atlantykiem. To jednak nie koniec jej marzeń - kolejnym wyzwaniem jest lot dookoła świata.",Biograficzny / Dramat
Wspaniały rok 1939,Glorious 39,"W niepewnym i pełnym napięcia czasie rodzina Keyes próbuje kultywować swój tradycyjny, angielski tryb życia.",Thriller / Romans / Dramat historyczny
Powrót do błękitnej laguny,Return to the Blue Lagoon,"Na bezludną wyspę dociera kobieta z dwojgiem dzieci. Kiedy umiera, chłopiec i dziewczynka muszą sobie radzić sami.",Melodramat / Przygodowy
Noc żywych trupów,Night of the Living Dead,Nieżywi powstają z ziemi w poszukiwaniu ofiar wśród ludzi.,Horror
Teksas - Pola śmierci,Texas Killing Fields,Detektyw Mike Souder i jego partner Brian Heigh próbują wytropić sadystycznego seryjnego mordercę. ,Dramat / Kryminał / Thriller
Sinatra,,"Historia życia legendarnego piosenkarza i aktora, Franka Sinatry. ",Biograficzny / Dramat / Muzyczny
Maruderzy,Marauders,"Bandyci napadając na bank, którego właścicielem jest biznesmen Hubert, zabijają jednego z pracowników. Detektyw Montgomery uważa, że w sprawę&nbsp; może być zamieszany dyrektor placówki.",Akcja
Salto,Somersault," ""Salto"" to dramat o przyspieszonym dojrzewaniu młodej dziewczyny. Szesnastoletnia Heidi, przyłapana w niedwuznacznej sytuacji z partnerem matki, ucieka z domu. Wyjeżdża... ",Melodramat
Twarze w tłumie,Faces in the Crowd,"Anna zostaje zaatakowana przez seryjnego zabójcę, po czym traci zdolność do rozpoznawania twarzy. Od tego czasu żyje w strachu, nie wiedząc, kim mógł być napastnik.",Dramat / Kryminał / Thriller
Wiedźmy,The Witches,Młody chłopak staje się nieproszonym gościem na zlocie czarownic. Przemieniony w mysz próbuje udaremnić ich nikczemne plany. ,Familijny / Fantasy
"Seksualni, niebezpieczni",The Inbetweeners Movie,"Po zakończeniu nauki w liceum, czterech angielskich nastolatków udaje się rozerwać na Kretę.",Komedia
Wszystko zostanie w rodzinie 1/2,Babysitting,Młody urzędnik zostaje zobowiązany do zaopiekowania się synem swojego szefa.,Komedia
Miasto kobiet,La città delle donne,"Snaporaz wysiada z pociągu i, podążając za nieznajomą, trafia na kongres kobiet. ",Dramat / Komedia / Obyczajowy
Pole minowe,Under Sandet,Grupa niemieckich jeńców wojennych dostaje rozkaz rozminowania duńskiego wybrzeża. ,Wojenny
Kraina Tygrysów,Tigerland,"Roland Bozz trafia do Krainy Tygrysów - ciężkiego obozu szkoleniowego, po którym żołnierze wysyłani są na wojnę w Wietnamie. Jego porywcza i buntownicza natura sprawia przełożonym wiele kłopotów. ",Dramat
"Kochanie, chyba cię zabiłem",,Nagranie wideo z zarejestrowanym morderstwem przypadkowo trafia w niepowołane ręce.,Sensacyjny / Czarna komedia
Dragon Ball Z: Legendarny Super Saiyan,Doragon bôru Z: Moetsukiro!! Nessen retsusen-chô gekisen,Son Goku wraz z przyjaciółmi musi stawić czoło Super Saiyaninowi o imieniu Brolly.&nbsp;,Przygodowy / Sci-Fi / Anime
Miłość przez przypadek,Accidental Love,Dziewczyna z prowincji nieszczęśliwie wbija sobie gwóźdź w głowę. Od tej pory jej zachowanie staje się mocno kontrowersyjne. ,Komedia rom.
Magnezja,,"Na odciętym od reszty kraju skrawku ziemi rządzą kobiety, a główną walutą jest kula z rewolweru.",Dramat / Gangsterski
Prochy Angeli,Angela's Ashes,Biedna rodzina z Brooklynu po śmierci nowo narodzonego dziecka postanawia wrócić do Europy.,Dramat obyczajowy
Turistas,,"Grupa przyjaciół z USA, podróżując beztrosko po Brazylii, wpada&nbsp;w ogromne niebezpieczeństwo, gdy trafia na handlarzy ludzkich organów.&nbsp;",Horror
Sprawiedliwy,,Osierocona sześcioletnia dziewczynka zaprzyjaźnia się z wiejskim dziwakiem. Łącząca ich więź pomoże im przetrwać wojnę. ,Dramat / Wojenny
Persona non grata,,"Z powodu pogrzebu żony do kraju powraca Wiktor, pełniący funkcję polskiego ambasadora w Urugwaju. Tutaj spotyka dawnego przyjaciela, Olega - rosyjskiego wiceministra spraw zagranicznych, którego podejrzewa o romans ze zmarłą małżonką oraz szpiegostwo na rzecz ZSRR.",Dramat
Egzorcyzmy Anneliese Michel,,Dokument przedstawiający historię opętania bogobojnej studentki Anneliese Michel.,Biograficzny / Dokumentalny
Sylvia,,"Biografia Sylvii Plath, która jako 23-latka marzy, by zostać sławną pisarką. Kobieta spotyka poetę Teda Hughesa.",Biograficzny / Melodramat
Godsend,,"Gdy ośmioletni Adam ginie w wypadku samochodowym, kontrowersyjny naukowiec tworzy zrozpaczonym rodzicom klona ich synka. ",Dramat / Horror
Aferim!,,Policjant Constandin i jego syn przemierzają konno Wołoszczyznę w poszukiwaniu zbiegłego cygańskiego niewolnika.,Dramat historyczny
I Bóg stworzył kobietę,Et Dieu... créa la femme," Osiemnastoletnia Juliete Hardy jest sierotą. Piękną dziewczynę przyjęło na wychowanie bezdzietne, starzejące się małżeństwo. Juliete pracuje w modnym kurorcie... ",Melodramat
Zambezia,,"W Zambezi mieszka młody i ambitny sokół imieniem Kai. Kiedy krainie zagraża niebezpieczeństwo, tylko on może ją uratować. ",Animacja / Familijny / Komedia / Przygodowy
Frankie,Dear Frankie,"Samotna matka wymyśla synowi fikcyjnego ojca-marynarza, jak również nazwę statku, na którym pływa. Chłopiec dowiaduje się, że właśnie taki okręt ma niebawem zawitać do ich miasta.",Dramat obyczajowy
Papieżyca Joanna,Die Päpstin,Przebrana za mężczyznę Joanna zostaje mianowana na kościelnego dostojnika. Z czasem obejmuje urząd papieża. &nbsp;,Biograficzny / Dramat
Te ostatnie godziny,These Final Hours,"W kierunku australijskiego wybrzeża pędzi kometa, więc ludzie mają kilka dni, aby nacieszyć się życiem. Szukający dzikiej imprezy James spotyka na swojej drodze Rose. ",Dramat / Thriller
Otwarte serca,Elsker dig for evigt," Film nakręcony wg. zasad duńskiej Dogmy. Niels i Marie są małżeństwem, mają trójkę dzieci i absorbujące życie. niewiele w nim pasji, ale wydają się być szczęśliwi.... ",Melodramat
Głęboka czerwień,Profondo rosso,Po konferencji w Rzymie zostaje zamordowana niemiecka telepatka. Przypadkowy świadek wraz z dziennikarką próbują odnaleźć sprawcę.,Thriller
Dzielny mały toster,The Brave Little Toaster,"Grupa domowych sprzętów pod wodzą małego tostera postanawia odnaleźć swoich właścicieli, którzy wyprowadzili się i nie zabrali ich ze sobą.",Animacja / Dla dzieci
Kiwi!,,Mały kiwi marzy o lataniu. W spełnienie tych marzeń gotów jest włożyć wiele pracy. ,Animacja / Krótkometrażowy
