title,description,genre
sleepless,"Vincent Downs jest dobrym gliną pracującym pod przykrywką w świecie pełnym mafiosów i gangsterów. Gdy jego syn zostaje porwany, będzie zmuszony wejść głębiej w nieprzyjazne sobie środowisko, by go odnaleźć, a winnych postawić przed sądem.",thriller
in the name of the king: a dungeon siege tale,"Gdy syn Farmera ginie z rozkazu złego maga Galliana, mężczyzna wyrusza na wojnę, by stawić czoło wojskom żądnego władzy tyrana. ",fantasy
scary stories to tell in the dark,Sarah w swojej książce opisała historie jak z horroru. Kilka lat później grupa przyjaciół budzi do życia zawarte w niej istoty. ,horror
tous les matins du monde,"Samotny ojciec, mistrz gry na violi da gamba, poświęca się muzyce i wychowaniu córek. Wkrótce po Francji zaczynają krążyć legendy o jego umiejętnościach.",biography
one hundred and one dalmatians,"Okrutna Cruella DeMon marzy o płaszczu ze skór dalmatyńczyków, więc skupuje lub porywa szczenięta tej rasy. Rodzice uprowadzonej piętnastki maluchów, Pongo i Perdita, wyruszają im na ratunek.",animation
anne of green gables,"Historia rudowłosej sieroty, Ani, przygarniętej przez rodzeństwo Marylę i Mateusza. ",family
the divide,Po wybuchu atomowym grupa ocalałych ludzi zamyka się w piwnicy apartamentowca. ,thriller
denial,"Deborah Lipstadt zostaje pozwana o zniesławienie przez historyka, który zaprzecza istnieniu Holocaustu. Kobieta jest zmuszona przedstawić w sądzie dowody na to, że zagłada Żydów miała miejsce. ",biography
"hallo szpicbrodka, czyli ostatni wystep krola kasiarzy","Nieuchwytny kasiarz wykorzystuje problemy finansowe teatrzyku rewiowego, aby obrabować bank.",musical
appaloosa,Dwaj rewolwerowcy przybywają do miasteczka terroryzowanego przez bandę bogatego ranczera. ,western
the bodyguard,Frank Farmer dostaje zlecenie ochrony prześladowanej anonimowymi pogróżkami piosenkarki Rachell Marron. Mimo początkowej niechęci rodzi się między nimi uczucie.,thriller
the resident,"Młoda lekarka Juliet przeprowadza się do nowego apartamentu. Wkrótce zaczyna mieć wrażenie, że poza nią w mieszkaniu jest ktoś jeszcze. ",thriller
demonic,"Policjant i psycholog badają sprawę śmierci piątki osób, którzy zginęli, przywołując duchy.",horror
loving vincent,Bohaterowie obrazów Vincenta van Gogha przedstawiają historię życia oraz tajemniczej śmierci artysty. ,animation
kult. film," Film dokumentalny zawierający wyjątkowe i nigdzie niepublikowane materiały zakulisowe z życia legendarnego zespołu Kult oraz samego Kazika Staszewskiego. Prawdziwy,... ",documentary
banlieue 13,"Tajniak i były przestępca próbują przeniknąć do gangu, aby rozbroić bombę neutronową. ",action
shark night 3d,"Grupa przyjaciół spędzających weekend w domku nad jeziorem odkrywa, że nieopodal posesji pływają mięsożerne rekiny. ",horror
lumiere et compagnie, Film zrealizowany z okazji setnej rocznicy narodzin kina. Czterdziestu współczesnych znanych reżyserów zrealizowało krótkie nowele filmowe ręczną kamerą sprzed stu lat.... ,documentary
get out,Czarnoskóry mężczyzna udaje się ze swoją białą partnerką do posiadłości jej rodziców. Panująca tam atmosfera wprawia go w niepokój. ,horror
matchstick men,"Neurotyczny naciągacz Roy dowiaduje się, że ma czternastoletnią córkę. Z czasem dziewczyna zostaje jego wspólniczką w oszustwach. ",comedy
birds of prey (and the fantabulous emancipation of one harley quinn),"Harley Quinn, Czarny Kanarek, Łowczyni oraz Renee Montoya łączą siły w walce z Romanem Sionisem i Victorem Zsaszem. ",action
confessions of pain,"Detektyw pomaga w dochodzeniu, które ma wyjawić okoliczności tajemniczej śmierci ojca jego przyjaciela.",thriller
zashchitniki,Grupa superbohaterów staje do walki ze swoim stwórcą posiadającym ogromną moc.,action
hua mulan,"Młoda dziewczyna przebiera się za mężczyznę i wyrusza na wojnę, by uchronić od tego obowiązku schorowanego ojca.",drama
the girl on the train,"Rachel codziennie podróżuje do pracy tą samą trasą kolejową, obserwując przydrożne domy. Gdy mieszkanka jednego z nich znika, kobieta postanawia zeznać, co widziała.",thriller
the girl with the dragon tattoo,Ekranizacja powieści Stiega Larssona. Dziennikarz oskarżony o zniesławienie otrzymuje zlecenie zbadania zaginięcia przed 40 laty 16-letniej Harriet Vanger.,crime
smokin aces,"Gdy artysta z Las Vegas postanawia zeznawać przeciwko mafii, pojawia się wielu wrogów, którzy gotowi są go uciszyć.",action
the omen,Po śmierci nowo narodzonego syna bogaty Amerykanin&nbsp;decyduje się na adopcję innego noworodka.&nbsp;Ukrywa jednak&nbsp;ten fakt przed żoną.,horror
dolittle,"Dr Dolittle wyrusza na mityczną wyspę, by z pomocą zwierząt,&nbsp; zdobyć lekarstwo na chorobę królowej Anglii. ",family
cabaret,"Występująca w podrzędnym berlińskim kabarecie Sally poznaje Brytyjczyka - Briana. Zakochują&nbsp;się&nbsp;w sobie, a ich związek przeplata się&nbsp;z dojściem nazistów do władzy.",drama
der krieger und die kaiserin,"Sissy postanawia odnaleźć mężczyznę, który uratował jej życie.",drama
woodstock,"Dokument opowiadający o legendarnym festiwalu Woodstock, który odbył się w 1969 roku.&nbsp;",documentary
polar,"Gdy emerytowany zabójca zdaje sobie sprawę, że tym razem to on jest celem, wraca do gry i stawia czoła armii młodszych adeptów morderczego fachu.",action
dennis the menace,"Dennis jest największym łobuzem w okolicy. Gdy jego matka podejmuje pracę, chłopiec trafia pod opiekę sąsiadów.",family
listen to me marlon,"Aktor przez lata nagrywał audio-pamiętniki, w których wyrażał opinie na temat zawodu, sławy i opowiadał o życiu osobistym. Dokument wykorzystuje zdjęcia oraz filmy z prywatnego archiwum artysty.",biography
machete kills in space,"Voz ucieka w przestrzeń kosmiczną po próbie rozpoczęcia wojny nuklearnej na Ziemi. Jest tylko jeden człowiek godny zaufania prezydenta, który może go zdjąć: Machete. ",action
invasion of the body snatchers,"Lekarz z małego miasteczka odkrywa, iż jego mieszkańcy zastępowani są przez pozbawione emocji klony. ",horror
bogowie,"Profesor Zbigniew Religa, utalentowany kardiochirurg wierzy, że jest w stanie dokonać przeszczepu serca. Nie poddaje się mimo wielu nieudanych operacji.",biography
the parent trap,"Rozdzielone przed laty bliźniaczki po przypadkowym spotkaniu wpadają na pomysł, by zamienić się miejscami.",family
kiwi!,Mały kiwi marzy o lataniu. W spełnienie tych marzeń gotów jest włożyć wiele pracy. ,animation
darkest hour,Winston Churchill zostaje premierem Wielkiej Brytanii. Jego pierwszym zadaniem jest zjednoczenie narodu w obliczu groźby inwazji nazistowskich Niemiec.,biography
pacific rim,Świat nie umie obronić się przed morskimi potworami z&nbsp;innego wymiaru. Ostatnią nadzieją naszej planety stają się wydalony ze&nbsp;służby pilot i&nbsp;niedoszkolona nowicjuszka.,action
maiden,"Historia Tracy Edwards, kucharki na czarterowych łodziach, która została kapitanem pierwszej żeńskiej ekipy, jaka weszła do Whitbread Round the World Race w 1989 roku.",documentary
petes dragon,"Tajemniczy dziesięciolatek Pete twierdzi, że mieszka w lesie sam, bez rodziny, jedynie z wielkim zielonym smokiem o imieniu Elliott.",family
a girl walks home alone at night,"W irańskim miasteczku Bad City, pełnym przestępczości i prostytucji, mieszkańcy są prześladowani przez samotnego wampira. ",horror
paranoia,Szantażowany przez swojego szefa młody chłopak zostaje zmuszony do szpiegowania konkurencyjnej spółki.,thriller
herbie: fully loaded,"Nastolatka Maggie dostaje od ojca sportowe auto. Po pewnym czasie okazuje się, że samochód ma niezwykłe właściwości.",family
chalte chalte,"Pochodząca z bogatego domu Priya poznaje kierowcę ciężarówki, dla którego zrywa zaaranżowane narzeczeństwo. Wkrótce biorą ślub.",drama
zombieland,"Columbus i Tallahassee - dwaj mężczyźni, których różni prawie wszystko, znajdują sposób na przetrwanie w świecie opanowanym przez zombie. ",horror
the prince of egypt,"Wychowany przez egipcjan Mojżesz dowiaduje się o swojej tożsamości i zostaje wybrany, by wyprowadzić żydów z niewoli.",animation
beats of freedom - zew wolnosci,"Historia rocka w Polsce w latach 80., którą przedstawiają gwiazdy tamtego okresu.&nbsp;",documentary
la ragazza nella nebbia,"Agent specjalny Vogel zostaje wysłany do górskiego miasteczka, aby rozwiązać sprawę zaginięcia szesnastoletniej dziewczyny.",crime
whats love got to do with it,"Królowa rocka, Tina Turner, pnie się po szczeblach muzycznej kariery, tkwiąc jednocześnie w skomplikowanym związku.",biography
mary queen of scots,"Młoda królowa Maria powraca, aby objąć panowanie nad rodzinną Szkocją i&nbsp;zawalczyć o&nbsp;tron Anglii ze&nbsp;swoją kuzynką, królową Elżbietą I.",biography
ninja assassin,"Raizo od najmłodszych lat był szkolony na bezwzględnego zabójcę przez klan ninja, który zaopiekował się nim w dzieciństwie. Po latach postanawia zerwać z przeszłością i zniknąć. ",action
nappily ever after,"Zmęczona czekaniem na oświadczyny Violet zrywa z długoletnim partnerem. Dokonując szokującej metamorfozy, poznaje właściciela salonu fryzjerskiego.",drama
sarlatan,"Lata 50., niezwykłe zdolności Jana Mikoláška są poddawane próbie w państwie totalitarnym.",drama
gruppo di famiglia in un interno," W starym rzymskim palazzo żyje w odosobnieniu starzejący się profesor&nbsp;i miłośnik sztuki&nbsp;(Burt Lancaster). Pewnego dnia wbrew jego woli w domu zagnieżdża się, wraz ze... ",drama
a bugs life," Mrówki ciężko pracują wiosną i latem, by zebrać jedzenie na haracz dla koników polnych. Flik nie godzi się z tym, dlatego wyrusza w świat, poszukując owadów mogących ochronić mrowisko. ",animation
oblawa,"II wojna światowa. Kapral Wydra, żołnierz partyzanckiego oddziału, zmaga się nie tylko z Niemcami i polskimi zdrajcami, ale także z własną przeszłością.",thriller
spy kids,"Kiedy agenci Ingrid i Gregorio Cortez zostają porwani, z pomocą wyruszają ich dzieci.",family
"i, daniel blake","Stolarz, po tym jak uległ wypadkowi, potrzebuje opieki społecznej. Kiedy poznaje samotną matkę w podobnej sytuacji, postanawia jej pomóc.",drama
kaze tachinu,"Historia Jirô Horikoshiego, który projektował japońskie myśliwce podczas II wojny światowej.",biography
bulgarski poscikk,Dwóch funkcjonariuszy bułgarskiego wywiadu przyjeżdża do Warszawy z misją zlikwidowania zdrajcy oraz odzyskania kompromitujących materiałów. ,comedy
wszystko moze sie przytrafic,"Tomek podczas przejażdżki na hulajnodze spotyka starszych ludzi, z którymi rozmawia o ważnych dla każdego człowieka sprawach.",short
"yo, tambien","Chory na zespół Downa Daniel rozpoczyna pierwszą pracę, w której poznaje Laurę. ",drama
wakefield,W wyniku załamania nerwowego mężczyzna opuszcza swoją żonę i przez kilka miesięcy mieszka na poddaszu.,drama
death becomes her,Rywalizujące ze sobą aktorki odkrywają sposób na wieczną młodość.,fantasy
harts war,"Gdy w obozie jenieckim zostaje zamordowany jeden z oficerów, władze organizują sąd wojskowy. Obrońcą oskarżonych mianują nowo osadzonego więźnia.",drama
zurek,Katarzyna Figura w adaptacji prozy Olgi Tokarczuk. Zaradna wdowa szuka ojca dla nieślubnego dziecka swojej córki.,drama
mad max beyond thunderdome,Wędrujący przez pustkowia Max zostaje wciągnięty w rozgrywkę między rywalizującymi o władzę Cioteczką Entity i Panem Buchem. ,thriller
february,Dwóm uczennicom przydarza się seria niewytłumaczalnych i niebezpiecznych zdarzeń.,horror
family plot,"Starsza, zamożna kobieta postanawia odnaleźć siostrzeńca, by przekazać mu swój majątek. Do poszukiwań spadkobiercy wynajmuje wróżkę, która jest oszustką.",crime
never back down 2: the beatdown,"W koledżu rozpoczynają się rozgrywki MMA, których uczestnikami są studenci. ",drama
gorillas in the mist: the story of dian fossey,"Dian Fossey przybywa do Afryki, aby badać tryb życia zagrożonych wyginięciem goryli górskich. ",biography
safari,Dokument przedstawia legalne polowania na zwierzęta w Afryce.,documentary
rudy kapitan,Detektyw usiłując rozwikłać zagadkę kryminalną wplątuje się w niebezpieczną grę. ,crime
the last samurai,"Kapitan Nathan Algren w niewoli u samurajów poznaje ich zwyczaje i znajduje spokój, którego od dawna szukał po wojnach z Indianami.",drama
lovelace,"Pochodząca z konserwatywnej rodziny Linda poślubia starszego od siebie producenta filmowego, Chucka. Wkrótce mężczyzna nakłania ją do wystąpienia w filmie porno. ",biography
gong-jak,"Suk-young Park, były oficer wojskowy pracujący dla południowokoreańskiego wywiadu, zostaje wysłany na misję szpiegowską do znajdującego się w Korei Północnej obiektu jądrowego.",action
harry potter and the sorcerers stone,"W dniu jedenastych urodzin Harry dowiaduje się, że jest czarodziejem. Czeka na niego szkoła magii pełna tajemnic. ",family
the rebound,"Sandy przyłapuje męża na zdradzie i rozwodzi się. Po przeprowadzce zatrudnia jako nianię dla swoich dzieci, dużo młodszego od siebie mężczyznę.&nbsp;",comedy
v/h/s,Grupa złodziei zostaje wynajęta do kradzieży kaset wideo ze zrujnowanego domu. Na miejscu znajdują zwłoki mężczyzny oraz makabryczne nagrania.,horror
marry me,"Para supergwiazd Kat i Bastian mają się pobrać na oczach milionów widzów. Jednak Kat przed samą ceremonią dowiaduje się, że została zdradzona, postanawia więc poślubić mężczyznę z widowni. ",comedy
hidden,"Rodzina ukrywa się w schronie przeciwatomowym, aby uniknąć niebezpieczeństwa czyhającego na powierzchni Ziemi. ",horror
broderskab,Organizacja neonazistowska rekrutuje grupę młodzieńców do swoich szeregów. Pomiędzy dwójką z nich rodzi się uczucie.,drama
in the tall grass,"Przemierzające Kansas rodzeństwo słyszy wołanie o pomoc. Szukając źródła dźwięku, gubi się w wysokiej trawie.",horror
batman begins,"Historia milionera Bruce'a Wayne'a, który przemienia się w Batmana – postrach przestępców Gotham City.",action
shine a light,"Dokument przedstawia koncert zespołu The Rolling Stones, który odbył się w Beacon Theater w Nowym Jorku jesienią 2006 roku.",documentary
smiley face,"Jane przypadkowo zjada ciastka nafaszerowane marihuaną, które należą do współlokatora. Postanawia naprawić szkodę, jednak stan, w którym się znajduje, nie jest jej sprzymierzeńcem. ",comedy
the mitchells vs. the machines,"Życie pewnej nietypowej rodziny staje na głowie, gdy wszyscy trafiają w sam środek apokalipsy robotów i niefortunnym trafem stają się ostatnią nadzieją ludzkości.",animation
asterix et cleopatre,"Kleopatra przyjmuje zakład z Juliuszem Cezarem, że jej rodacy&nbsp;zbudują&nbsp;pałac w trzy miesiące. Egipcjanie zwracają się o pomoc do Asterixa i Obelixa.",animation
coco,Dwunastoletni meksykański chłopiec imieniem Miguel usiłuje zgłębić tajemnice rodzinnej legendy.,animation
slugi wojny,"Dwoje policjantów zostaje oddelegowanych do rozwiązania tajemnicy morderstwa lekarza, specjalisty od przeszczepu szpiku i szefa firmy działającej na polu transplantologii.",thriller
the damned united,Butny i utalentowany menadżer Brian Clough podejmuje się prowadzenia jednego z najlepszych angielskich klubów - Leeds United. ,biography
romance &amp; cigarettes," Pełna rozmachu produkcja braci Coen w reżyserii Johna Turturro (""Illuminata""). Historia mężczyzny, który z niewinnego dobrodusznego męża zmienia się w gwałtownego i... ",musical
avp: alien vs. predator,Członkowie ekipy badawczej trafiają w środek wojny niebezpiecznych przedstawicieli dwóch wrogich ras. ,action
the life aquatic with steve zissou,"Steve Zissou wyrusza w podróż, by znaleźć rekina, który podczas ostatniej wyprawy pożarł jego przyjaciela.",drama
dr. seuss the cat in the hat,"Życie Sally i Conrada ulega zmianie, kiedy napotykają na swojej drodze gadającego kota w kapeluszu.",family
innocence," Na Ziemi w 2032 r. androidy i roboty egzystują niemal na równi z ludźmi, światem zaś rządzą potężne korporacje, bezwzględne syndykaty zbrodni i genialni cyberprzestępcy.... ",sci-fi
the long weekend,"Ed ma tylko jeden weekend na wymyślenie projektu kampanii reklamowej dla jednej z wielkich firm. By go odstresować, jego brat organizuje mu szalony weekend. ",comedy
focus,Profesjonalny oszust uczy fachu młodą dziewczynę. Tworzące się między nimi uczucie komplikuje ich relacje zawodowe. ,comedy
the crash reel,"Lucy Walker przygląda się ekstremalnym sportowcom z perspektywy ich ciężkich urazów i pokazuje, że ich pasja to balansowanie na granicy życia i śmierci. ",biography
the raven,"Dr Bedlo pragnie zemsty na wrogim czarnoksiężniku, który zmienił go w kruka. Do pomocy angażuje zaprzyjaźnionego Erasmusa Cravena.",fantasy
baraka,"Dokument zabiera widza w podróż&nbsp;przez&nbsp;świat, ukazując zarówno piękno planety, jak i kondycję&nbsp;człowieka.",documentary
taken 3,Były agent rządowy zostaje oskarżony o morderstwo. Ścigany przez służby musi dowieść niewinności i odnaleźć prawdziwych sprawców zbrodni.,thriller
fantastic mr. fox,Farmerzy z małego miasteczka postanawiają pozbyć się wykradającego im zbiory lisa i jego rodziny.,animation
resident evil,"Na terenie tajnego kompleksu badawczego zostaje uwolniony wirus, zamieniający żywe istoty w zombie. Grupa ocalałych stara się wydostać z wrogiego miejsca. ",horror
anna,"Anna wczoraj była narkomanką w moskiewskim półświatku, a dziś jest topową modelką w największych paryskich domach mody. Nikt nie wie, kim jest naprawdę. ",thriller
egymasra nezve, Dwa lata po zakończeniu rewolucji 1956 roku na Węgrzech jej echa jeszcze nie przebrzmiały. Jednak wolność słowa i wolność jednostki to nadal tylko puste słowa. W tym... ,biography
contratiempo,"Po przebudzeniu się w pokoju hotelowym obok martwej kochanki młody biznesmen zatrudnia wybitną adwokat, aby ustalić, do czego tak naprawdę doszło.",crime
momentum,Para złodziei diamentów wplątuje się w brutalne morderstwo. ,thriller
bumblebee,"Autobot Bumblebee uciekając z Cybertronu dociera na Ziemię, gdzie poznaje nastoletnią Charlie. ",action
why are we creative: the centipedes dilemma,Jedno pytanie zostało zadane 30 największym postaciom współczesnej kultury i popkultury.,documentary
appleseed," Superprodukcja 3D, pierwsza część trylogii SF. Wyjątkowa i przełomowa produkcja pod względem animacji (bardzo realistycznej). Akcja rozgrywa się po trzeciej wojnie... ",action
trolls,"Księżniczka Poppy wyrusza w pełną niebezpieczeństw przygodę, żeby uratować przyjaciół i pomóc towarzyszowi odnaleźć radość. ",animation
dr. jekyll and mr. hyde,"Doktor Jekyll odkrywa, że każdy człowiek ma swoją ciemną stronę. Wynajduje eliksir, za sprawą którego stopniowo traci kontrolę nad własną osobowością. ",horror
the witches,Przezorna babcia stara się uchronić swojego osieroconego wnuka przed diabolicznymi wiedźmami.,family
high noon,Osamotniony szeryf staje do walki z bandą kryminalistów.,western
road house,Znany wykidajło rozpoczyna pracę jako ochroniarz. Jego zadaniem jest przywrócenie porządku w barze o nagannej opinii.,action
jestem morderca,Młody milicjant otrzymuje zadanie schwytania seryjnego zabójcy kobiet. ,thriller
mutant chronicles," Jest rok 2707. Zasoby naturalne ziemi wyczerpują się, a świat pogrążony jest w wojnie pomiędzy czterema Korporacjami: Kapitolem, Bahaus, Mishimą i Imperialem. Mitch... ",adventure
asterix aux jeux olympiques,"Asterix i Obelix biorą udział w Igrzyskach Olimpijskich. Pomagają tym samym przyjacielowi, Romantixowi, zdobyć serce pięknej Iriny.",family
morbius,"Biochemik Michael Morbius, próbując wyleczyć się z rzadkiej choroby krwi, niechcący zaraża się pewnym rodzajem wampiryzmu. ",action
sing 2,"Aby wystąpić w teatrze Crystal, Buster Moon i jego ekipa muszą odnaleźć i przekonać legendę rocka do powrotu na scenę.",animation
na srebrnym globie,"Grupa badaczy opuszcza Ziemię w poszukiwaniu wolności i szczęścia. Lądując na nieznanej planecie, rozpoczynają budowę nowej cywilizacji.",sci-fi
about a girl," Charleen niedługo przed swoimi szesnastymi urodzinami jest jedną z tych nastolatek, które zdają się dźwigać problemy całego świata na własnych barkach. Być może to... ",comedy
the enforcer,"Inspektor Callahan wraz z nową partnerką wpada na trop szajki przestępczej, która terroryzuje miasto. ",crime
belzebuth,"Detektyw, który w tragicznych okolicznościach stracił rodzinę, prowadzi śledztwo w sprawie szkolnej strzelaniny.&nbsp;",horror
stories we tell,"Polley, w podwójnej roli filmowca i detektywa, prowadzi śledztwo mające odkryć sekrety własnej rodziny. ",documentary
book of life," Joaquin i Manolo wyruszają w podróż, dzięki której poznają, kim naprawdę są. ",animation
half past dead,"Zakonspirowany agent FBI staje do walki z bandytą, który przetrzymuje zakładników.",thriller
night at the museum: battle of the smithsonian,"Nocny strażnik musi stawić czoła egipskiemu Faraonowi, który planuje zdobyć władzę nad światem. ",family
minority report,"W 2054 roku można przewidzieć przyszłość, a winnych ukarać, zanim popełnią zbrodnię. Komisarz John Anderton zostaje oskarżony o morderstwo, do którego jeszcze nie doszło.",thriller
high school musical 3: senior year,"Troy, Gabriella i ich szkolni koledzy są już w trzeciej klasie liceum. Przed nimi trudne życiowe decyzje, z których najważniejsza to wybór kierunku studiów.",family
pierscien i roza,Król Paflagonii pragnie wydać córkę Angelikę za następcę tronu Krymtatarii - Bulbę. W dziewczynie kocha się jednak pozbawiony dziedzictwa książę Lulejko.,musical
harry potter and the prisoner of azkaban,"Z więzienia ucieka Syriusz Black, Harry nie może już czuć się bezpiecznie w szkole. ",family
radin!,"François Gautier to skąpy człowiek, który nie ma przyjaciół, ani kobiety. Pewnego dnia życie mężczyzny zmienia się za sprawą dwóch dam: szesnastoletniej Laury, która twierdzi, że jest jego córką oraz pięknej wiolonczelistki. ",comedy
rise," Pewnego dnia, po przebudzeniu, młoda reporterka (Lucy Liu), stwierdza, że znajduje się w kostnicy. Kiedy okazuje się, że naprawdę nie żyje, postanawia zemścić się za... ",horror
the crow," Rok po śmierci Eric Draven powraca jako anioł zemsty, by pomścić morderstwo swoje oraz ukochanej Shelly. W misji towarzyszy mu czarny kruk, który jest łącznikiem ze światem żywych. ",fantasy
metropia,"Niedaleka przyszłość, kończą się światowe zapasy ropy, a sieć metra łączy europejskie miasta. Roger, mieszkaniec Sztokholmu, odkrywa prawdę związaną z podziemnymi tunelami. ",sci-fi
the wrong trousers,Nowy współlokator Wallace'a - pingwin wykorzystuje tytułowy prezent urodzinowy Gromita do niecnych celów. ,animation
w pustyni i w puszczy,Para młodych przyjaciół zostaje uprowadzona w środku afrykańskiego kontynentu. ,family
the serpent and the rainbow,"Na zlecenie firmy farmaceutycznej, Dennis Allan udaje się na Haiti, aby zbadać działanie tajemniczego proszku, który zamienia ludzi w zombie. ",horror
virunga,"Park Narodowy Wirunga jest domem dla goryli górskich. Działacze i eksperci przyrody kierują wszystkie wysiłki, aby ratować zagrożone zwierzęta.",documentary
jackass: the movie," ""Jackass"" to program, którego prowadzący robi na antenie maksymalnie głupie, bezsensowne, a niekiedy nawet i niebezpieczne rzeczy. Niekiedy każe przypadkowym osobom jeść... ",documentary
the emperors new groove,"Młody król zostaje zmieniony w lamę i wyrzucony z pałacu. Zrozpaczony władca poznaje wieśniaka, który pomaga mu ponownie zasiąść na tronie. ",animation
superman iv: the quest for peace,"Lex Luthor ucieka z więzienia i tworzy człowieka, który siłą dorównuje Supermanowi.",action
rubber,"Posiadająca zdolności parapsychologiczne opona samochodowa obsesyjnie podąża za kobietą, pozbawiając życia każdego, kto stanie jej na drodze. ",horror
wild things,Oskarżony o gwałt uczennicy Sam nie przyznaje się do winy. W czasie śledztwa na jaw wychodzą nowe fakty.,thriller
godzilla: king of the monsters,"Po pojawieniu się nowego zagrożenia Król Potworów powraca, by ponownie przywrócić w przyrodzie równowagę. ",action
combien tu maimes?," Francois jest przeciętnym, samotnym facetem, który wieczorami lubi przesiadywać w barze i patrzeć na kobiety sprzedające miłość za pieniądze. Im piękniejsze, tym drożej... ",drama
the aviator,"Wizjoner Howard Hughes zakłada własne linie lotnicze, przyciągając tym samym uwagę właściciela Pan Am oraz rządu.",biography
whores glory,Tajniki najstarszego zawodu świata przedstawione na przykładzie trzech krajów i trzech religii.,documentary
home,"Podróż przez wszystkie kontynenty, której celem jest zwrócenie uwagi świata na problemy oraz zagrożenia środowiska naturalnego: globalne ocieplenie, umierające lasy, wymieranie gatunków zwierząt, a także roślin oraz kończące się zasoby naturalne.",documentary
trapped,Córka zamożnej rodziny Jenningsów zostaje uprowadzona przez doświadczonych porywaczy. Załamana matka próbuje odzyskać kontrolę nad sytuacją. ,thriller
saw iv,Po śmierci Jigsawa ktoś kontynuuje jego dzieło. Tym razem ofiarami krwawej gry stają się dwaj agenci FBI.,horror
the signal,"Trójka przyjaciół przemierza Nevadę, starając się zlokalizować hakera Nomada. Wkrótce młodzi znajdują pusty dom na pustyni. ",thriller
mars attacks!,Ziemię otaczają latające spodki Marsjan. Pojawienie się kosmitów wpłynie na każdego: od prezydenta Stanów Zjednoczonych po nieśmiałego nastolatka i jego babcię.,sci-fi
nancy drew,Nastoletnia detektyw próbuje rozwiązać zagadkę dotyczącą śmierci znanej aktorki.,family
siedem kobiet w roznym wieku,"Dokument przedstawia tańczące w różnym wieku kobiety, od małego dziecka po najstarszą z nich - nauczycielkę baletu.",documentary
yip man 3,"Mistrz wschodnich sztuk walki i jego uczniowie przeciwstawiają się gangsterom, którzy terroryzują lokalną szkołę.",biography
the dark tower,"Adaptacja sagi Stephena Kinga. Roland przemierza powojenny świat zaludniony przez mutanty, demony i wampiry poszukując tajemniczej Mrocznej Wieży.",fantasy
salt,Agentka CIA Evelyn Salt zostaje oskarżona o bycie rosyjskim szpiegiem. Kobieta odtąd musi uciekać przed wymiarem sprawiedliwości.,thriller
highlander iii: the sorcerer,Nieśmiertelny staje do walki z odwiecznym wrogiem Czarnoksiężnikiem.,fantasy
self/less,"Zamożny mężczyzna chorujący na raka korzysta z udogodnień ówczesnej medycyny, która umożliwia mu przeniesienie świadomości do zdrowego i młodego ciała.",thriller
odnajde cie,"Lena zostaje uprowadzona. Matka policjantka, aby ją uratować, decyduje się popełnić przestępstwo. ",thriller
na granicy,"W odciętej od cywilizacji bieszczadzkiej chacie dwaj bracia i ojciec spotykają tajemniczego nieznajomego, który sprowadza na nich niebezpieczeństwo. ",thriller
birdman of alcatraz,Odsiadujący dożywocie więzień odkrywa w sobie pasję do ornitologii. ,biography
meet me in st. louis," St. Louis, 1903 rok. Biznesmen Alonzo Smith (Leon Ames)&nbsp;ma cztery córki. Jedna z nich, 17-letnia Esther (Judy Garland), zakochuje się w chłopaku z sąsiedztwa - Johnie... ",family
the babysitter,"Młody chłopiec szpiegując swoją opiekunkę odkrywa, że należy ona do satanistycznej sekty.",horror
one more time with feeling,Proces powstawania najnowszego wydawnictwa Nick Cave &amp; The Bad Seeds ''Skeleton Tree'' oraz zwraca szczególną uwagę na rodzinną tragedię lidera zespołu.,documentary
evangelion shin gekijoban: jo,"Młodzi bohaterowie zasiadają za sterami biomechanicznych robotów, aby bronić Ziemi przed atakami obcych istot. ",action
stardust,"Mur oddziela małe angielskie miasteczko od magicznej krainy Stormhold. Tristan obiecuje swojej ukochanej, że zdobędzie dla niej gwiazdę, która spadła po drugiej stronie. ",fantasy
invasion of the body snatchers,Kosmici dokonują inwazji Ziemi poprzez kopiowanie jej mieszkańców. Ci postanawiają walczyć z obcymi.,horror
good," Niemcy, lata 30. XX wieku. Profesor akademicki John Halder (Viggo Mortensen) jest uczciwym i porządnym człowiekiem. Jego życie to nie bajka. Opiekuje się neurotyczną... ",drama
film balkonowy,Paweł Łoziński przygląda się przechodniom ze swojego balkonu.,documentary
the mummy,"Poszukiwacze skarbów uwalniają mumię kapłana Ozyrysa, który trzy tysiące lat wcześniej sprzeniewierzył się faraonowi.",fantasy
uwiklanie,Uczestniczka terapii znajduje ciało mężczyzny - członka grupy terapeutycznej. Prokurator Szacka i komisarz Smolar próbują rozwikłać zagadkę tej śmierci.,crime
klitschko,Dokument przedstawia kulisy życia oraz kariery sportowej braci Witalija i Władimira Kliczko. ,biography
cartel land,Matthew Heineman bada stan problemu narkotykowego na granicy amerykańsko-meksykańskiej.,documentary
exit through the gift shop,"Dokument przedstawia francuskiego sklepikarza, który zapragnął odnaleźć i zaprzyjaźnić się z Banksym, ulicznym artystą o nikomu nieznanej tożsamości.",documentary
a close shave,Wallace i Gromit przypadkiem odkrywają tajemnicę znikających w okolicy owiec. ,animation
dr. dolittle 2,"Zwierzęta proszą lekarza, który rozumie ich mowę, o pomoc w zapobiegnięciu wycince lasu. ",family
